1 net profit / total assets,2 total liabilities / total assets,6 retained earnings / total assets,5 [(cash + short-term securities + receivables - short-term liabilities) / (operating expenses - depreciation)] * 365,8 book value of equity / total liabilities,9 sales / total assets,10 equity / total assets,12 gross profit / short-term liabilities,13 (gross profit + depreciation) / sales,16 (gross profit + depreciation) / total liabilities,17 total assets / total liabilities,19 gross profit / sales,21 sales (n) / sales (n-1),23 net profit / sales,24 gross profit (in 3 years) / total assets,25 (equity - share capital) / total assets,26 (net profit + depreciation) / total liabilities,27 profit on operating activities / financial expenses,29 logarithm of total assets,34 operating expenses / total liabilities,38 constant capital / total assets,46 (current assets - inventory) / short-term liabilities,51 short-term liabilities / total assets,55 working capital,64 sales / fixed assets,65 Bankrupt
0.20055,0.37951,0.38825,32.351,1.3305,1.1389,0.50494,0.6598,0.1666,0.73378,2.6349,0.14942,1.2479,0.11998,0.47706,0.50494,0.60411,1.4582,5.9443,0.56393,0.50591,1.5225,0.37854,348690.0,7.4277,0
0.18732,0.61323,0.18732,-7.3128,0.6307,1.1559,0.38677,0.33147,0.12182,0.32211,1.6307,0.11553,0.0,0.11553,0.18732,0.38677,0.32211,1.4138,4.1424,0.3234,0.43489,0.95787,0.56511,3186.6,7.898,0
0.00902,0.63202,0.0,-37.842,0.58223,1.3332,0.36798,0.033921,0.038938,0.082138,1.5822,0.010827,1.0752,0.006766,0.000222,0.34828,0.073572,1.0714,5.9479,1.7697,0.49344,0.81192,0.42554,1.1263,2.5603,0
0.26669,0.34994,0.55983,43.087,1.8577,1.1268,0.65006,1.0993,0.12047,0.99444,2.8577,0.11496,1.0581,0.092322,0.51586,0.65006,0.80759,1.1885,3.9412,0.87075,0.69793,2.0239,0.30207,5340.0,33.413,0
0.067731,0.19885,0.21265,90.606,4.029,1.257,0.80115,1.8736,0.31036,0.39415,5.029,0.30912,1.1848,0.2682,0.24604,0.80115,0.3422,2.6744,5.2684,0.27021,0.95834,2.2195,0.041664,15132.0,0.28803,0
-0.029182,0.21131,0.010387,57.844,3.7324,1.0241,0.78869,-0.50333,0.004191,0.015671,4.7324,-0.043861,0.99083,-0.036936,0.016014,0.78869,0.041561,-0.65622,4.8827,-0.23957,0.93115,4.2624,0.068848,34549.0,1.6511,0
0.028084,0.24231,0.021598,47.935,3.1037,1.0125,0.75206,0.185,0.04419,0.34458,4.127,0.021027,0.78628,0.014863,0.03447,0.75206,0.29652,0.29448,4.4729,0.22679,0.77962,2.1394,0.21475,12841.0,5.3523,0
-0.30505,1.2523,-0.30505,-214.91,-0.25344,0.77037,-0.31738,-0.29829,-0.33838,-0.22523,0.79852,-0.36596,0.0,-0.36596,-0.30505,-0.31738,-0.22523,-3.0867,4.5134,-0.2667,-0.087747,0.38501,1.0227,-9531.1,3.0925,0
0.079997,0.23967,0.20743,8.1087,2.5466,1.0556,0.61034,0.31987,0.067313,0.49189,4.1724,0.039805,1.1151,0.045676,0.2369,0.61034,0.53479,0.51182,4.407,0.3543,0.63206,1.169,0.21795,8200.8,3.8007,0
-0.054623,0.92857,-0.054623,-87.724,0.074796,0.92301,0.069453,-0.11637,-0.021237,-0.017279,1.0769,-0.072298,0.0,-0.072298,-0.054623,0.069453,-0.017279,-0.76829,4.7985,-0.067726,0.52863,0.60056,0.46939,-1693.2,1.3551,0
-0.35884,1.1171,-1.1752,-152.21,-0.11206,0.97154,-0.12518,-0.41514,-0.19052,-0.27255,0.89517,-0.22455,1.0345,-0.22455,-0.82224,-0.12518,-0.27255,-1.1648,4.0712,-0.17151,0.12756,0.25521,0.86437,-5487.2,2.6572,0
0.1409,0.7556,0.36762,-11.094,0.32344,1.0508,0.2444,0.26562,0.058424,0.19844,1.3234,0.054902,1.3822,0.054902,0.36762,0.2444,0.19844,0.49454,4.383,0.15986,0.46952,0.86058,0.53048,8185.6,19.641,0
0.001222,0.53108,0.042436,-44.797,0.87355,0.99091,0.46393,0.007405,0.033226,0.095012,1.883,0.001807,1.0293,0.000805,0.056723,0.46393,0.092145,-0.047783,4.0949,-0.013789,0.62437,0.541,0.37064,2504.7,3.5477,0
0.013079,0.75841,0.069955,-58.08,0.29958,0.99307,0.22721,0.019544,0.015526,0.05141,1.3186,0.004897,1.2765,0.005208,0.083487,0.22721,0.05244,-0.073544,4.2688,-0.024522,0.35639,0.36138,0.62923,-1116.6,5.828,0
0.099873,0.57415,0.30824,-1.2568,0.68902,1.0754,0.3956,0.21423,0.094556,0.25189,1.7417,0.077616,1.1377,0.065299,0.37667,0.3956,0.21907,0.72869,4.7881,0.18051,0.41561,1.1804,0.55414,10781.0,5.6592,0
0.033901,0.24045,0.026188,-59.217,2.4419,1.0732,0.58716,0.22485,0.13633,0.39012,4.1589,0.064195,1.2929,0.049271,0.03543,0.58716,0.34741,0.75545,4.9797,0.20142,0.63116,0.51256,0.19644,-8531.9,0.77052,0
-0.081668,1.0237,-0.081668,-132.7,-0.039,0.92774,-0.039925,-0.1216,-0.034396,-0.035478,0.97682,-0.077341,0.0,-0.077341,-0.081668,-0.039925,-0.035478,-0.58934,4.3396,-0.065524,0.31221,0.40271,0.67159,1244.7,3.8899,0
0.17203,0.56315,0.54039,3.4455,0.73455,1.1308,0.41366,0.40125,0.12344,0.44405,1.7757,0.11041,1.1313,0.08492,0.68577,0.41366,0.35235,1.3226,4.4184,0.42074,0.41935,1.0363,0.55746,8079.5,15.095,0
-0.00175,0.50246,0.031605,-29.76,0.98586,1.05,0.49535,0.000241,0.005836,0.004884,1.9902,0.000288,1.226,-0.004161,0.053671,0.49535,0.001161,0.1071,5.1479,0.008537,0.49669,1.0221,0.50112,1679.0,0.8636,0
0.14813,0.50448,0.19262,58.226,0.98119,1.0876,0.49499,0.49291,0.09999,0.36307,1.9822,0.096598,0.53504,0.080863,0.28439,0.49499,0.30594,1.0303,3.1746,0.34397,0.64049,1.7676,0.35899,581.63,7.2705,0
0.19437,0.49453,0.23399,44.573,1.0221,1.1112,0.50547,0.57608,0.23361,0.53454,2.0221,0.22169,0.94494,0.17176,0.31098,0.50547,0.42031,2.5759,4.5365,0.53043,0.56455,1.289,0.43545,4835.0,2.669,0
0.06773,0.19032,0.18519,24.998,3.9752,1.0611,0.75658,0.47002,0.077849,0.7043,5.2543,0.05089,1.1111,0.039336,0.23996,0.75658,0.59977,0.58054,4.0754,0.49498,0.76047,1.6001,0.18643,3078.0,3.1034,0
0.064812,0.39736,0.11789,-27.265,1.2319,1.0908,0.48952,0.20691,0.11061,0.37176,2.5166,0.060523,1.2694,0.048529,0.14072,0.48952,0.33145,0.70333,4.8603,0.21672,0.49623,0.77965,0.39066,15164.0,3.3374,0
0.086734,0.35868,0.08568,6.4534,1.788,0.95643,0.64132,0.39967,0.14114,0.37636,2.788,0.11386,1.1223,0.090685,0.0,0.63107,0.31457,3.2168,5.2446,2.2653,0.72754,2.399,0.27246,2.4774,2.9428,0
0.087366,0.33897,0.31729,-7.1206,1.8588,1.1244,0.6301,0.39173,0.12331,0.40448,2.9501,0.095948,1.154,0.078574,0.39141,0.6301,0.34749,1.2263,4.6742,0.35774,0.69673,0.97396,0.27234,14161.0,2.599,0
0.077604,0.30417,0.086884,44.75,2.2861,1.0457,0.69536,0.39207,0.1218,0.41874,3.2876,0.096526,1.1814,0.074209,0.0,0.6069,0.34202,14.203,5.2039,2.2538,0.74207,1.8682,0.25746,2.5204,2.9785,0
0.082955,0.59173,0.1953,6.5078,0.54898,1.0775,0.32485,0.20144,0.073798,0.2085,1.69,0.063512,1.2362,0.049621,0.2505,0.32485,0.16925,0.70848,4.6637,0.18576,0.38949,1.0539,0.52708,12830.0,8.5914,0
0.010386,1.061,0.010386,-55.122,-0.061661,1.0086,-0.065423,0.033631,0.046668,0.039113,0.94249,0.015792,0.0,0.011679,0.014043,-0.065423,0.035665,0.13331,4.1606,0.011078,0.57802,0.68813,0.41757,1317.7,1.8097,0
0.026461,0.64655,0.078304,-14.73,0.45244,1.037,0.29252,0.07446,0.031762,0.12244,1.5467,0.015722,1.4517,0.010617,0.1132,0.29252,0.10276,0.28901,5.3699,0.10743,0.41281,0.81967,0.52626,49293.0,9.4616,0
0.007744,0.75664,0.000978,-81.363,0.32163,1.0177,0.24336,0.020016,0.039157,0.050371,1.3216,0.009244,1.2562,0.007956,0.001754,0.24336,0.048714,0.13551,5.8343,0.017129,0.55049,0.53936,0.44951,-10735.0,1.7191,0
0.39616,0.18959,0.56657,190.13,4.1889,1.0462,0.79415,2.9633,0.58343,2.8521,5.2747,0.51499,0.98474,0.42746,0.65632,0.79415,2.4242,5.4257,4.0037,2.5352,0.82267,3.7306,0.16106,6638.3,5.1296,0
-0.006985,0.39142,-0.006985,76.769,1.5214,0.98198,0.5955,-0.012891,0.010886,0.020581,2.5548,-0.006791,0.0,-0.009438,-0.005026,0.5955,0.015577,-0.17578,5.3423,-0.033843,0.59706,1.4135,0.38986,82262.0,3.1348,0
-0.030391,1.5015,-0.30101,-100.72,-0.43377,0.98745,-0.65128,-0.026512,-0.002745,-0.003901,0.66602,-0.014242,1.5237,-0.014242,-0.30101,-0.65128,-0.003901,-0.14253,5.2586,-0.020514,-0.29614,0.47861,1.1463,-59804.0,11.635,0
-0.079066,0.565,-0.079066,52.382,0.7332,0.96856,0.41426,-0.49955,0.014947,0.055776,1.7699,-0.039485,0.0,-0.037501,-0.08325,0.41426,0.063181,-0.30863,4.01,-0.11891,0.81261,2.8095,0.16665,3206.0,4.0543,0
0.10535,0.56658,0.091326,-0.16393,0.7629,1.0683,0.43224,0.25899,0.063977,0.32695,1.765,0.049966,1.3978,0.036385,0.15127,0.43224,0.25755,0.58492,4.0026,0.27982,0.44019,1.0083,0.55862,2044.0,12.156,0
0.018787,0.70616,0.055006,-20.625,0.34312,0.94983,0.2423,0.063318,0.04633,0.079002,1.4161,0.022698,1.4537,0.015602,0.076533,0.2423,0.066902,0.31125,4.1069,0.055879,0.5168,0.84143,0.43166,2338.1,3.1231,0
0.009032,0.30479,0.00022,-6.3902,2.0076,1.0092,0.6119,0.088427,0.045338,0.19655,3.2809,0.01235,0.98399,0.006835,0.012115,0.6119,0.17264,0.069022,4.956,0.029649,0.73215,0.88184,0.18454,16831.0,2.1001,0
0.14181,0.5204,0.3333,-146.04,0.92159,0.97626,0.4796,0.33578,0.2182,0.40933,1.9216,0.17727,0.71693,0.14526,0.0,0.47511,0.34928,45.615,4.0466,1.5548,0.48462,0.57692,0.51538,-1590.5,1.5559,0
0.092174,0.79413,0.10701,-36.092,0.2534,1.0174,0.20124,0.1674,0.072858,0.17028,1.2592,0.061431,1.544,0.049664,0.13521,0.20124,0.14277,0.72888,4.7312,0.16743,0.31426,0.73511,0.68111,6761.8,9.6002,0
0.032386,0.29487,0.090761,94.958,2.3913,1.0457,0.70513,0.15526,0.11344,0.32981,3.3913,0.042417,0.91292,0.037777,0.10549,0.70513,0.31632,0.12885,4.6333,0.035821,0.76578,2.0009,0.23422,17373.0,2.371,0
0.063017,0.37552,0.0,50.007,1.663,1.0964,0.62448,0.42604,0.093542,0.27311,2.663,0.071744,1.2668,0.057477,0.0,0.61382,0.23146,6.808,5.0636,2.1194,0.80585,1.5812,0.18463,3.0278,2.4862,0
0.075483,0.43484,-0.0272,-103.74,1.1687,1.0095,0.5082,0.2201,0.13104,0.25982,2.2997,0.08905,1.2393,0.087551,-0.025907,0.5082,0.25684,1.1753,4.1419,0.23084,0.59421,0.33324,0.34882,-1158.5,1.1735,0
0.069509,0.76803,0.069509,-168.8,0.28083,1.1547,0.21569,0.1518,0.14681,0.12308,1.302,0.13281,0.0,0.10795,0.085518,0.21569,0.10224,1.1741,4.549,0.085245,0.42036,0.55031,0.56335,4637.1,2.1067,0
0.024796,0.63019,0.094644,-22.191,0.56239,1.0082,0.35441,0.031348,0.010944,0.063828,1.5868,0.005363,1.0253,0.006747,0.063678,0.35441,0.071898,0.072164,5.1964,0.041745,0.35583,0.64742,0.62877,-2083.8,9.5591,0
-0.02059,0.11585,-0.17832,19.528,7.6231,0.98021,0.88313,-0.18434,0.011753,0.11413,8.6319,-0.01825,1.052,-0.018302,-0.1782,0.88313,0.11363,-0.15554,4.0974,-0.15409,0.88761,1.9083,0.11138,6000.0,2.7493,0
0.055377,0.44661,0.3197,-18.256,1.2119,1.0487,0.54123,0.27845,0.068267,0.29019,2.2391,0.036358,0.88038,0.029169,0.39882,0.54123,0.25964,0.41114,4.2528,0.16665,0.73995,0.64954,0.24789,5174.8,4.1003,0
0.1226,0.34656,0.15861,46.048,1.8451,1.113,0.63942,0.34694,0.093622,0.40013,2.8855,0.080303,1.4067,0.082775,0.1557,0.63942,0.4107,0.91364,4.8132,0.35083,0.64314,1.4917,0.34283,30999.0,8.2025,0
0.076195,0.54584,0.10633,-68.523,0.83204,1.016,0.45416,0.15493,0.091053,0.14102,1.832,0.081611,0.75851,0.090132,0.10012,0.45416,0.15422,0.34296,5.1839,0.052281,0.55469,1.0453,0.44531,17633.0,1.9247,0
0.078471,0.84636,0.13627,26.155,0.18153,1.0616,0.15364,0.14892,0.04762,0.092887,1.1815,0.034236,1.1537,0.047533,0.11928,0.15364,0.11882,0.64688,5.395,0.11886,0.62048,1.2937,0.37952,59111.0,4.3167,0
0.026435,0.5767,0.037409,-21.733,0.68585,1.0121,0.39553,0.079734,0.023896,0.12178,1.734,0.012292,1.2874,0.008995,0.054345,0.39553,0.10497,0.1149,4.3791,0.057859,0.51916,0.62409,0.45307,7622.6,12.862,0
0.15775,0.15845,0.42192,76.966,5.2684,1.1809,0.83475,1.6274,0.19993,1.5603,6.3113,0.15793,1.1298,0.12758,0.52446,0.83475,1.3234,1.9202,4.2364,1.269,0.8732,2.7988,0.12,7617.3,2.823,0
-0.008594,0.62404,0.16638,9.8305,0.48471,1.0526,0.30248,-0.013805,0.000807,0.000842,1.6025,-0.013187,0.37556,-0.013187,0.16638,0.30248,0.000842,0.45343,4.8022,0.044986,0.30403,1.0342,0.62249,13233.0,3.8595,0
-0.01771,0.64132,-0.094964,-34.098,0.54698,0.99926,0.35079,-0.047011,0.040803,0.082754,1.5593,-0.015618,1.3627,-0.013616,-0.10971,0.35079,0.086814,-0.003586,4.7566,-0.000728,0.56,0.7369,0.43212,5972.9,2.8076,0
0.086845,0.5514,0.16838,8.7534,0.71269,1.1089,0.39298,0.31272,0.063915,0.27317,1.8136,0.058845,1.9421,0.03685,0.24689,0.39298,0.17917,0.63845,4.4076,0.24607,0.50091,1.1235,0.44346,5723.7,7.0856,0
0.15732,0.31131,0.38634,63.108,2.128,1.2034,0.66248,0.69562,0.20074,0.80226,3.2123,0.15896,1.1971,0.12644,0.4885,0.66248,0.6723,2.0259,4.759,0.6728,0.68947,1.6182,0.28431,26202.0,4.7989,0
0.021612,0.27966,0.095306,5.2696,2.4666,1.0239,0.68981,0.074317,0.068217,0.35274,3.5758,0.014311,0.96725,0.014945,0.074436,0.68981,0.35602,0.25979,5.0555,0.13119,0.69101,1.0762,0.27846,20330.0,2.665,0
0.028803,0.84343,-0.24615,-34.233,0.14406,0.8994,0.1215,0.059938,0.045421,0.10167,1.1856,0.015257,0.45142,0.015257,-0.24615,0.1215,0.10167,0.046143,4.762,0.011484,0.48438,0.59979,0.48054,3164.4,4.0625,0
0.039398,0.37202,0.039398,-11.202,1.6588,1.0507,0.61709,0.16769,0.1619,0.55,2.688,0.039141,0.0,0.031174,0.049467,0.61709,0.52294,0.54268,4.1729,0.17546,0.69412,0.92791,0.29498,1200.7,2.0241,0
0.14273,0.37092,0.37531,-21.203,1.6285,1.111,0.60407,0.48823,0.13564,0.67311,2.696,0.097753,1.1805,0.077543,0.47608,0.60407,0.57282,1.0716,6.307,0.47862,0.60645,0.77904,0.36854,326160.0,3.9114,0
0.023729,0.38453,0.17643,61.274,1.5645,1.0275,0.6016,0.09731,0.040052,0.17163,2.6006,0.018203,1.0884,0.014401,0.22993,0.6016,0.15533,0.19285,4.6716,0.080423,0.67789,1.8686,0.30824,16991.0,4.9952,0
0.1733,0.55635,0.45359,-6.3883,0.76191,1.0772,0.42389,0.32001,0.072527,0.33238,1.7974,0.067971,1.2088,0.067971,0.45359,0.42389,0.33238,0.78209,4.075,0.33273,0.43868,0.93784,0.54156,3667.8,17.013,0
0.1815,0.19478,0.1815,97.359,3.8856,1.1664,0.75683,1.1413,0.1389,1.16,5.134,0.11157,0.0,0.11157,0.1815,0.75683,1.16,1.5015,4.0486,1.0752,0.79259,3.3134,0.15902,6397.6,6.0475,0
0.062512,0.35216,0.21921,16.316,1.7361,1.0451,0.6114,0.23423,0.055132,0.32749,2.8396,0.039241,1.1826,0.029883,0.28812,0.6114,0.2719,0.38647,4.496,0.21965,0.6131,1.2625,0.35046,7015.5,4.9146,0
0.1245,0.46146,0.3127,0.3729,1.1644,1.1438,0.53734,0.68312,0.13974,0.37599,2.167,0.12357,1.1288,0.10027,0.3923,0.53734,0.31329,1.4077,4.4263,0.33115,0.7742,1.019,0.2246,7754.0,2.561,0
-0.10409,0.72414,-0.005766,-271.01,0.38095,0.73572,0.27586,-0.20392,-0.11159,-0.11337,1.3809,-0.16511,0.90452,-0.14148,0.0,0.23409,-0.089364,-0.83871,5.0194,0.96594,0.31584,0.59592,0.59571,0.95993,1.7183,0
0.13841,0.60338,0.22314,-15.015,0.65092,1.096,0.39276,0.29417,0.085525,0.3274,1.6573,0.072085,1.2672,0.059921,0.27377,0.39276,0.28084,0.83055,4.1047,0.2901,0.43013,0.85381,0.566,2130.8,8.6648,0
0.20691,0.41595,0.55912,28.177,1.2046,1.1856,0.50103,0.94624,0.16017,0.68718,2.4042,0.14515,1.118,0.11595,0.70058,0.50103,0.56189,1.8244,5.3184,0.66018,0.64324,1.4286,0.27374,43655.0,3.4548,0
0.10035,0.65127,0.23856,10.845,0.52066,1.0763,0.33909,0.25789,0.23194,0.56949,1.5355,0.078982,1.1108,0.062751,0.29614,0.33909,0.52964,1.1037,4.0917,0.25178,0.50061,1.0983,0.48975,1018.2,3.7379,0
0.25443,0.36013,0.43498,47.308,1.3736,1.1813,0.49465,0.86745,0.17036,0.92769,2.7768,0.15816,1.295,0.12974,0.54142,0.49465,0.77293,1.8054,5.1665,0.83221,0.49722,1.6266,0.35756,59803.0,8.3494,0
0.1642,0.48805,0.43176,42.015,0.96456,1.1832,0.47076,1.3034,0.21183,0.5167,2.049,0.17194,1.2267,0.13793,0.53858,0.47076,0.43375,1.8553,5.7699,0.38248,0.80177,1.7204,0.15704,231400.0,2.6461,0
0.1828,0.16121,0.41858,95.934,4.8253,1.1528,0.77789,1.4422,0.25669,1.6636,6.203,0.21388,1.1001,0.17495,0.52013,0.77789,1.4114,2.4429,4.0765,1.3734,0.78415,2.4928,0.15495,5376.6,2.6501,0
0.12606,0.40354,0.23674,-19.734,1.4781,1.0812,0.59646,0.40902,0.082514,0.51649,2.4781,0.061612,1.4603,0.049907,0.29449,0.59646,0.44322,0.74502,4.2384,0.4313,0.61952,0.72453,0.38048,3625.4,6.1588,0
0.050757,0.26632,0.17703,35.504,2.437,0.92853,0.64901,0.23207,0.094231,0.38666,3.7549,0.055822,1.1443,0.046447,0.15699,0.64901,0.34819,0.49295,4.1174,0.21784,0.65247,1.4825,0.26286,3268.0,2.2404,0
0.08574,0.27121,0.27318,21.504,2.1173,0.8576,0.57424,0.42441,0.1445,0.61755,3.6871,0.090711,1.0854,0.073971,0.31281,0.57424,0.54601,0.80793,4.1672,0.40263,0.59771,1.3229,0.24774,4462.4,2.5836,0
0.10618,0.37985,0.15649,24.984,1.2671,1.0382,0.48131,0.36723,0.073169,0.4318,2.6326,0.060953,1.0886,0.047367,0.18392,0.48131,0.35162,0.60414,3.9026,0.34341,0.48909,1.9657,0.37207,3148.4,9.583,0
0.072307,0.93592,0.16638,43.243,0.039861,1.0515,0.037306,0.5432,0.10641,0.20104,1.0685,0.042105,1.3747,0.040892,0.16992,0.037306,0.19874,0.42902,4.3498,0.077085,0.83617,2.4492,0.13706,6880.9,3.1835,0
0.035942,0.30725,0.28004,-7.1497,1.9583,1.002,0.60168,0.24606,0.068254,0.32121,3.2547,0.044302,0.92768,0.024857,0.37984,0.60168,0.2297,0.49023,3.6104,0.23024,0.64859,0.9052,0.26034,478.28,2.3233,0
0.1062,0.60577,0.3354,-13.16,0.4576,0.98617,0.2772,0.18826,0.11998,0.23843,1.6508,0.08822,0.9061,0.08822,0.3354,0.2772,0.23843,0.88897,4.1467,0.17914,0.31886,0.9352,0.56412,-475.7,2.5624,0
0.086231,0.31793,0.49573,71.858,2.0014,1.1012,0.6363,0.34562,0.061003,0.37462,3.1454,0.056062,1.0461,0.044166,0.55127,0.6363,0.30156,1.0577,4.1634,0.58985,0.63754,2.3479,0.31669,9333.0,45.689,0
0.048442,0.2066,0.15303,80.2,3.8358,1.0591,0.79249,0.28791,0.079702,0.50181,4.8402,0.044767,0.90952,0.03724,0.19385,0.79249,0.45442,0.61234,4.0198,0.36403,0.79683,2.438,0.20226,5951.4,5.679,0
0.10466,0.25067,0.23344,94.082,2.9893,1.1143,0.74933,0.76986,0.14419,0.67787,3.9893,0.11073,1.0134,0.08881,0.29374,0.74933,0.57481,1.1216,5.0581,0.47321,0.8305,2.5698,0.1695,50491.0,3.0313,0
